Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
The You I've Never Known,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The You I've Never Known,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
There's No Place Like Home,"Calonita, Jen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
They Both Die at the End,"Silvera, Adam",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
They Both Die at the End,"Silvera, Adam",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Things Hoped For,"Clements, Andrew",Texas,Frisco Independent School District,May-23,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",Texas,Keller Independent School District,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
This Book Is Gay,"Dawson, Juno",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
This Book Is Gay,"Dawson, Juno",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
This One Summer,"Tamaki, Mariko",Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
This One Summer,"Tamaki, Mariko",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries,Informal Challenge
Those That Wake,"Karp, Jesse",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Three Wishes,"Moriarty, Liane",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries,Informal Challenge
Throne of Glass,"Maas, Sarah J.",Texas,Keller Independent School District,Feb-23,Banned from Libraries,Formal Challenge
Tiger's Destiny,"Houck, Colleen",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Tilt,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Tilt,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Tilt,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Timescape,"Liparulo, Robert",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
Traffick,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Traffick,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Traffick,"Hopkins, Ellen",Texas,Keller Independent School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
"Transgender Lives: Complex Stories, Complex Voices","Cronn-Mills, Kirstin",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tricks,"Hopkins, Ellen",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Tricks,"Hopkins, Ellen",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Tricks,"Hopkins, Ellen",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Tricks,"Hopkins, Ellen",Texas,Lake Travis Independent School District,Mar-23,Banned from Libraries and Classrooms,Informal Challenge
"Troublemaker for Justice: The Story of Bayard Rustin, the Man Behind the March on Washington","Houtman, Jacqueline",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Turtles All the Way Down,"Green, John",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Two Boys Kissing,"Levithan, David",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Ultimate Magic,"Barron, T. A.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Unbecoming: A Memoir of Disobedience,"Bhagwati, Anuradha",Texas,Frisco Independent School District,Dec-22,Banned from Libraries and Classrooms,Administration
Untamed (AGH),"Howard, A. G.",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Victoria and the Rogue,"Cabot, Meg",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Administration
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather",Texas,Fort Worth Independent School District,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Walk Two Moons,"Creech, Sharon",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
War Storm,"Aveyard, Victoria",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Watch Over Me,"LaCour, Nina",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Watcher in the Woods: A Rockton Novel,"Armstrong, Kelley",Texas,Frisco Independent School District,Oct-22,Banned Pending Investigation,Administration
Water for Elephants,"Gruen, Sara",Texas,Keller Independent School District,Apr-23,Banned from Libraries and Classrooms,Formal Challenge
Wayfarer,"Bracken, Alexandra",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
We Are the Ants,"Hutchinson, Shaun David",Texas,Keller Independent School District,Fall 2022,Banned from Libraries,Formal Challenge
We Can't Be Friends: A True Story,"Etler, Cyndy Drew",Texas,Frisco Independent School District,Dec-22,Banned from Libraries and Classrooms,Administration
We March,"Evans, Shane W.",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
We'll Always Have Summer,"Han, Jenny",Texas,Frisco Independent School District,Nov-22,Banned from Libraries,Administration
What Girls Are Made Of,"Arnold, Elana K.",Texas,Belton Independent School District,Sep-22,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
What Girls Are Made Of,"Arnold, Elana K.",Texas,Katy Independent School District,Sep-22,Banned from Libraries and Classrooms,Administration
What Girls Are Made Of,"Arnold, Elana K.",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
What Goes Around,"Millner, Denene",Texas,Frisco Independent School District,Sep-22,Banned from Libraries and Classrooms,Administration
What We Saw,"Hartzler, Aaron",Texas,Frisco Independent School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
"Will Grayson, Will Grayson","Green, John",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Willful Machines,"Floreen, Tim",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Wintergirls,"Anderson, Laurie Halse",Texas,Keller Independent School District,Feb-23,Banned Pending Investigation,Formal Challenge
Wintersong,"Jae-Jones, S.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Witch and Wizard,"Patterson, James",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.",Texas,Keller Independent School District,Mar-23,Banned Pending Investigation,Formal Challenge
Written in Bone: Buried Lives of Jamestown and Colonial Maryland,"Walker, Sally M.",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
Yolk,"Choi, Mary H.K.",Texas,Frisco Independent School District,Nov-22,Banned from Libraries and Classrooms,Administration
You Killed Wesley Payne,"Beaudoin, Sean",Texas,Frisco Independent School District,Sep-22,Banned from Libraries,Administration
Zenobia July,"Bunker, Lisa",Texas,Keller Independent School District,Mar-23,Banned Pending Investigation,Formal Challenge
Zom-B: Gladiator,"Shan, Darren",Texas,Frisco Independent School District,Mar-23,Banned from Libraries,Administration
Zombies Don't Cry,"Fischer, Rusty",Texas,Frisco Independent School District,Oct-22,Banned from Libraries,Administration
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,"Brynie, Faith Hickman",Utah,Washington County School District,Feb-23,Banned from Libraries,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Frost and Starlight,"Maas, Sarah J.",Utah,Granite School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Mist and Fury,"Maas, Sarah J.",Utah,Davis School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A ​Court of Silver Flames,"Maas, Sarah J.",Utah,Davis School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Thorns and Roses,"Maas, Sarah J.",Utah,Davis School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",Utah,Granite School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Wings and Ruin,"Maas, Sarah J.",Utah,Davis School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Utah,Granite School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Good Kind of Trouble,"Ramée, Lisa Moore",Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Stolen Life,"Dugard, Jaycee",Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
Acceptance,"VanderMeer, Jeff",Utah,Washington County School District,Sep-22,Banned from Libraries and Classrooms,Administration
All Boys Aren't Blue,"Johnson, George M.",Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
All Boys Aren't Blue,"Johnson, George M.",Utah,Davis School District,Nov-22,Banned from Libraries and Classrooms,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Utah,Davis School District,Jan-23,Banned from Libraries,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Utah,Granite School District,Nov-22,Banned Pending Investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",Utah,Granite School District,Nov-22,Banned Pending Investigation,Formal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",Utah,Granite School District,Nov-22,Banned Pending Investigation,Formal Challenge
Beautiful,"Reed, Amy",Utah,Granite School District,Oct-22,Banned Pending Investigation,Formal Challenge
